date,leads
5/1/16,23828
6/1/16,18427
7/1/16,40634
8/1/16,44612
9/1/16,33106
10/1/16,31381
11/1/16,27075
12/1/16,29277
1/1/17,27706
2/1/17,33352
3/1/17,29305
4/1/17,30184
5/1/17,29540
6/1/17,27044
7/1/17,33846
