"user_id","rank"
1220,"C"
1222,"C"
1223,"C"
1228,"C"
1231,"C"
1232,"C"
1233,"C"
1234,"C"
1235,"C"
1236,"C"
1239,"C"
1241,"C"
1242,"C"
1244,"C"
1245,"C"
1246,"C"
1248,"AA"
1249,"C"
1254,"C"
1255,"C"
1256,"C"
1257,"C"
1260,"C"
1262,"C"
1263,"C"
1264,"C"
1265,"C"
1266,"C"
1267,"B"
1268,"C"
1269,"C"
1270,"C"
1271,"C"
1277,"C"
1278,"C"
1279,"C"
1280,"C"
1286,"C"
1287,"C"
1288,"C"
1290,"C"
1291,"C"
1292,"C"
1293,"C"
1295,"C"
1297,"C"
1298,"C"
1299,"C"
1300,"C"
1301,"C"
1302,"C"
1303,"C"
1304,"C"
1305,"C"
1306,"B"
1307,"C"
1308,"C"
1309,"C"
1312,"C"
1315,"C"
1316,"A"
1317,"C"
1318,"C"
1320,"C"
1324,"B"
1326,"B"
1329,"A"
1335,"B"
1337,"C"
1338,"C"
1339,"C"
1340,"C"
1342,"C"
1345,"C"
1346,"C"
1347,"B"
1348,"B"
1349,"B"
1350,"C"
1351,"C"
1355,"C"
1357,"C"
1361,"C"
1362,"C"
1363,"B"
1364,"C"
1365,"C"
1367,"C"
1368,"C"
1372,"C"
1374,"C"
1376,"C"
1377,"C"
1379,"C"
1381,"C"
1382,"C"
1384,"C"
1385,"C"
1386,"C"
1387,"C"
1389,"C"
1391,"A"
1394,"C"
1396,"C"
1397,"C"
1400,"C"
1401,"B"
1402,"C"
1403,"C"
1405,"AA"
1409,"B"
1410,"C"
1411,"C"
1412,"C"
1413,"C"
1414,"C"
1415,"B"
1419,"C"
1420,"C"
1421,"C"
1424,"C"
1426,"C"
1427,"C"
1428,"C"
1431,"C"
1432,"C"
1433,"C"
1434,"C"
1436,"C"
1438,"C"
1444,"C"
1445,"C"
1447,"B"
1448,"C"
1449,"C"
1450,"C"
1451,"C"
1455,"C"
1457,"C"
1458,"AA"
1459,"C"
1461,"C"
1462,"C"
1465,"C"
1466,"C"
1467,"C"
1468,"C"
1469,"C"
1472,"C"
1476,"C"
1479,"C"
1480,"C"
