diff_zip,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,num_hvc,client_rank_label,signup_to_book_interval,booking_interval,income_level,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market
0,4.96,4.96,0.0,99.0,109.0,0.0,0.0,1,0,0,1,0,0,0,0,0,15,0,90,50,94715,0,0,0,0,0
0,2.54,4.32,-1.78,89.0,139.0,0.359712,0.0,1,1,0,0,0,0,1,1,0,6,0,90,169,61110,1,1,0,0,0
1,4.96,3.69,1.27,119.0,129.0,0.14388499999999999,0.07194199999999999,0,0,0,1,0,0,0,1,0,21,0,90,180,85578,0,1,0,0,0
1,1.46,3.73,-2.27,79.0,99.0,0.20202,0.0,0,0,0,0,0,0,0,1,0,21,0,90,180,85578,1,1,0,0,0
0,1.78,2.46,-0.68,149.0,40.0,0.118343,0.763314,0,0,1,1,0,0,0,0,0,21,0,90,2,85578,1,1,0,0,0
0,4.96,4.96,0.0,99.0,99.0,0.0,0.0,0,1,0,0,0,0,1,0,0,2,1,90,4,83417,1,1,0,0,0
1,2.97,3.69,-0.72,273.0,139.0,0.017986000000000002,0.0,1,0,0,1,1,0,1,0,0,16,0,90,114,70982,1,1,0,0,0
1,3.13,3.37,-0.24,99.0,198.0,0.0,0.0,0,0,1,0,0,1,0,1,0,4,0,90,148,97791,1,0,0,0,0
1,2.54,4.32,-1.78,99.0,99.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,90,180,82288,1,1,0,0,0
0,3.09,4.96,-1.87,185.0,185.0,0.0,0.0,0,0,0,0,0,0,1,0,0,34,1,90,4,65353,1,0,0,0,0
1,3.73,3.69,0.04,99.0,169.0,0.0,0.0,0,0,0,0,0,0,1,1,0,34,0,90,105,65353,0,0,0,0,0
0,4.09,4.96,-0.87,69.0,99.0,0.30303,0.0,0,0,0,0,0,0,1,0,1,5,0,90,48,66421,0,1,0,1,0
0,1.9,1.9,0.0,278.0,169.0,0.0,0.0,1,1,0,0,1,0,0,0,0,2,0,90,25,28008,0,1,0,0,0
0,1.64,2.5,-0.86,99.0,99.0,0.0,0.0,0,0,0,0,0,0,1,1,0,2,0,0,0,43555,0,0,0,0,0
0,1.74,3.13,-1.39,198.0,198.0,0.0,0.0,1,0,0,1,1,1,0,0,0,9,0,0,145,61619,0,1,0,0,0
0,3.13,1.62,1.51,99.0,99.0,0.0,0.0,0,1,0,0,0,0,1,1,0,7,0,90,13,55343,1,1,0,0,0
1,3.15,3.09,0.06,79.0,139.0,0.20202,0.0,0,1,1,0,0,0,1,0,0,7,0,90,87,55343,1,1,0,0,0
0,2.54,3.69,-1.15,119.0,169.0,0.14388499999999999,0.0,1,0,0,0,0,0,1,1,0,8,0,90,180,124687,0,1,0,0,0
0,1.74,2.24,-0.5,168.0,278.0,0.151515,0.0,1,0,0,0,1,1,1,1,0,8,0,6,68,124687,0,1,0,0,0
0,3.13,3.73,-0.6,89.0,169.0,0.359712,0.0,1,1,0,0,0,0,1,1,0,8,0,90,84,124687,0,0,0,0,0
0,1.74,2.5,-0.76,99.0,99.0,0.0,0.0,0,1,0,0,0,0,0,0,0,5,0,13,4,87185,0,1,0,0,0
0,1.74,3.11,-1.37,139.0,169.0,0.0,0.0,0,0,1,1,0,0,0,0,0,7,0,1,14,75452,1,1,0,0,0
0,2.02,2.02,0.0,198.0,99.0,0.0,0.0,1,1,0,0,0,0,1,0,0,3,0,0,11,93923,0,0,0,0,0
1,4.92,3.77,1.15,169.0,169.0,0.0,0.0,0,0,0,0,0,0,1,1,1,6,0,90,14,42954,0,1,1,0,0
1,3.77,2.54,1.23,134.0,109.0,0.15723299999999998,0.155039,1,1,0,0,0,0,0,1,0,16,1,90,30,37456,1,1,1,0,0
1,4.92,1.54,3.38,69.0,84.0,0.30303,0.151515,0,0,0,1,0,0,0,0,0,8,0,90,180,39337,0,1,1,0,0
1,4.92,3.69,1.23,99.0,106.7,0.0,0.0,0,0,0,1,0,0,1,0,0,2,0,90,102,35305,1,1,1,0,0
0,3.17,3.17,0.0,139.0,139.0,0.0,0.0,0,0,1,1,0,0,1,1,0,12,0,0,180,40358,1,0,0,0,0
0,3.17,4.36,-1.19,49.0,59.0,0.505051,0.40404,0,1,0,0,0,0,1,0,0,12,0,2,65,40358,0,0,0,0,0
0,2.54,4.92,-2.38,169.0,99.0,0.0,0.0,1,0,0,1,0,0,0,0,0,12,0,0,180,40358,1,1,0,0,0
0,3.17,4.36,-1.19,99.0,139.0,0.0,0.0,0,1,0,0,0,0,1,0,0,12,0,7,25,40358,0,1,0,0,0
1,2.54,3.21,-0.67,119.0,99.0,0.14388499999999999,0.0,0,1,0,0,0,0,1,1,0,12,0,3,180,40358,0,0,0,0,0
0,4.92,4.28,0.64,99.0,139.0,0.0,0.0,1,0,0,1,0,0,0,0,0,12,0,90,34,40358,0,0,0,0,0
0,4.88,4.28,0.6,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,12,0,90,62,40358,1,1,0,0,0
0,4.28,3.13,1.15,99.0,99.0,0.0,0.0,1,0,0,1,0,0,0,1,0,12,0,0,180,40358,1,0,0,0,0
