user_id,interval_between_bookings,not_book_interval,rank
40995,3,3,B
41146,155,155,C
41169,125,125,B
41258,NULL,130,B
41264,NULL,282,C
41417,14,14,A
41429,NULL,51,C
41735,NULL,309,C
41820,7,7,B
41930,18,18,AA
42061,22,22,A
42150,22,22,B
42308,33,33,B
42789,20,20,AA
42847,NULL,127,B
42872,NULL,72,B
42906,3,3,B
43018,NULL,284,C
43019,50,50,A
43136,35,35,B
43361,NULL,12,C
43371,NULL,252,C
43541,NULL,289,C
43600,265,265,C
43892,29,29,B
43956,199,199,C
44001,97,97,C
44036,39,39,B
44158,1,1,A
44306,38,38,AA
44320,55,55,B
44510,84,84,C
44711,NULL,128,B
45046,NULL,320,C
45171,70,70,C
45181,53,53,C
45210,12,12,B
45223,20,20,B
45383,NULL,206,C
45385,NULL,43,B
45390,34,34,A
45427,13,13,B
45665,NULL,197,C
45704,195,195,B
45779,NULL,196,C
45860,4,4,B
46030,6,6,B
46134,170,170,C
46262,35,35,B
46308,NULL,3,C
46447,NULL,50,C
46558,16,16,B
46572,NULL,135,C
46611,129,129,B
46643,141,141,B
46676,NULL,122,B
46850,NULL,112,C
46860,NULL,7,C
46888,NULL,62,B
47048,NULL,253,C
47067,12,12,AA
47130,NULL,331,C
47315,NULL,38,C
47350,110,110,B
47538,NULL,246,C
47575,NULL,280,C
47784,110,110,B
47886,138,138,C
47928,8,8,B
48356,NULL,86,B
48392,0,0,B
48493,44,44,AA
48788,27,27,C
48927,NULL,19,B
49064,84,84,C
49203,228,228,C
49245,NULL,199,C
49327,42,42,B
49587,5,5,C
49631,21,21,C
49667,NULL,79,C
49724,NULL,21,C
49856,31,31,B
49945,NULL,78,C
49983,31,31,B
49987,8,8,B
50121,25,25,C
50153,NULL,191,C
50282,0,0,B
50403,171,171,C
50471,NULL,85,C
50583,NULL,29,B
50685,NULL,142,C
50732,NULL,52,B
50750,2,2,A
50938,15,15,B
50959,NULL,224,C
51268,NULL,180,C
51356,4,4,B
51417,219,219,C
51498,110,110,B
51607,NULL,85,C
51670,84,84,C
51754,NULL,346,C
52113,97,97,B
52123,NULL,219,C
52137,NULL,86,C
52606,NULL,75,C
52658,1,1,B
52740,162,162,B
52775,NULL,72,B
52792,15,15,AA
53101,20,20,A
53286,28,28,B
53343,NULL,35,B
53493,NULL,312,C
53535,44,44,B
53729,49,49,B
53957,21,21,B
54117,21,21,A
54281,20,20,B
54431,NULL,217,C
54492,82,82,B
54529,8,8,B
54650,NULL,161,C
54736,NULL,169,C
54797,11,11,A
54856,39,39,A
54996,5,5,B
55050,NULL,23,C
55063,28,28,A
55162,63,63,B
55268,35,35,A
55422,39,39,B
55459,NULL,207,C
55604,97,97,C
55646,76,76,B
55751,NULL,17,B
56014,92,92,B
56556,NULL,247,C
56884,42,42,B
56893,23,23,B
57076,7,7,C
57136,15,15,A
57238,NULL,359,C
57385,4,4,B
57557,40,40,C
57659,13,13,A
57684,NULL,249,C
57748,60,60,B
57885,119,119,C
58223,56,56,A
58232,48,48,B
58268,25,25,A
58322,NULL,174,C
58421,83,83,C
58451,NULL,82,C
58473,8,8,B
58712,NULL,8,B
58719,NULL,45,B
58740,NULL,272,C
59055,NULL,193,C
59329,NULL,266,C
59422,142,142,B
59587,NULL,175,B
59716,NULL,63,B
59769,129,129,B
59851,79,79,B
60024,NULL,167,C
60099,NULL,260,C
60169,47,47,C
60217,24,24,AA
60239,1,1,B
60256,NULL,120,C
60261,29,29,B
60269,7,7,A
60341,NULL,258,C
60351,NULL,191,C
60437,7,7,C
60466,NULL,282,C
60531,83,83,B
60611,NULL,84,C
60717,54,54,B
60878,NULL,59,B
